"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.404004850E-1,-7.956135273E-2,1.495514214E-1,9.800403595E0,9.801867488E0
7.428639740E-1,-8.913264424E-2,1.345962733E-1,9.814760208E0,9.816087751E0
7.453274120E-1,-9.870393574E-2,1.250249892E-1,9.805189133E0,9.806482939E0
7.477909010E-1,-9.332008660E-2,1.202393398E-1,9.800403595E0,9.801585421E0
7.502543390E-1,-9.810572863E-2,1.202393398E-1,9.800403595E0,9.801632153E0
7.527178290E-1,-8.434699476E-2,1.345962733E-1,9.795618057E0,9.796905823E0
7.551813180E-1,-1.028913707E-1,1.154536903E-1,9.795618057E0,9.796838741E0
7.576447560E-1,-8.434699476E-2,1.345962733E-1,9.805189133E0,9.806475641E0
7.601081930E-1,-8.913264424E-2,1.345962733E-1,9.795618057E0,9.796948194E0
7.625716830E-1,-7.956135273E-2,1.298106313E-1,9.800403595E0,9.801586169E0
7.650351720E-1,-1.028913707E-1,1.250249892E-1,9.795618057E0,9.796956211E0
7.674986100E-1,-8.913264424E-2,1.447657645E-1,9.790832520E0,9.792308368E0
7.699620990E-1,-9.391828626E-2,1.447657645E-1,9.805189133E0,9.806707485E0
7.724255370E-1,-8.434699476E-2,1.202393398E-1,9.805189133E0,9.806289096E0
7.748890260E-1,-1.034895778E-1,1.250249892E-1,9.800403595E0,9.801747393E0
7.773524640E-1,-1.034895778E-1,1.250249892E-1,9.795618057E0,9.796962512E0
7.798159540E-1,-8.913264424E-2,1.298106313E-1,9.800403595E0,9.801668534E0
7.822793910E-1,-7.956135273E-2,1.298106313E-1,9.814760208E0,9.815941053E0
7.847428810E-1,-8.913264424E-2,1.154536903E-1,9.809974670E0,9.811058924E0
7.872063180E-1,-8.374879509E-2,1.250249892E-1,9.795618057E0,9.796773869E0
